Fruit.id,Fruit.batch,Day,Date,Ripeness.stage,Weight,Sugar.content,Primate.red-green.contrast,Primate.blue-yellow.contrast,Primate.luminance,Passerine.red-green.contrast,Passerine.blue-yellow.contrast,Passerine.luminance,Instant.modulus.test,Shannon.index
B101,U17,Day12,2021-06-25,3,179,20.5,0.5113825,0.36759556,0.13667151,0.562321105,0.355958453,14.15918945,0.16597,2.343615054
B102,U17,Day14,2021-06-27,4,206,19.13333333,0.52117758,0.20732866,0.2663154,0.576342833,0.253775614,29.08000308,0.08106,2.038825592
B104,U18,Day02,2021-06-15,1,187,19.2,0.52042579,0.12420182,1.14874433,0.549450456,0.210666325,113.4692665,0.45336,1.494228807
B108,U18,Day03,2021-06-16,1,177,20.53333333,0.52470578,0.13915559,1.42009209,0.566038886,0.202198134,136.4853301,0.4361,2.295669294
B108.2,U18,Day09,2021-06-22,3,153,21.5,0.5261753,0.16608268,0.42046488,0.586872256,0.223162678,46.16069625,0.19829,1.361012527
B107,U18,Day10,2021-06-23,3,184,20.8,0.52246488,0.23338608,0.26678969,0.584333987,0.271103095,30.49059828,0.1458,2.128485903
B106,U18,Day12,2021-06-25,3,179,20.33333333,0.52641327,0.14185823,0.64511793,0.581583829,0.209054704,68.86057982,0.09275,2.119567543
B109,U18,Day13,2021-06-26,4,175,19.76666667,0.50882281,0.38642531,0.13481415,0.552586533,0.375984378,13.71476305,0.10774,2.206520188
B113,U19,Day01,2021-06-14,1,227,17.03333333,0.51791263,0.13899729,1.26281634,0.538308598,0.227448324,122.2289263,0.46189,0
B110,U19,Day04,2021-06-17,1,249,21.76666667,0.52476967,0.14137287,1.37908126,0.567157993,0.20469411,133.8849375,0.31908,1.732201931
B112,U19,Day05,2021-06-18,2,227,21.7,0.52591543,0.1434919,1.39603051,0.572151944,0.202016265,135.6547053,0.3066,1.716367808
B111,U19,Day06,2021-06-19,2,140,21.73333333,0.52637317,0.15055471,1.19444845,0.576825346,0.209307899,120.2533727,0.25667,1.905151605
B114,U19,Day16,2021-06-29,4,152,20.03333333,0.50937491,NA,0.12946309,0.556323915,0.373735515,13.11664492,0.04748,2.401682603
B116,U20,Day10,2021-06-23,3,161,22.23333333,0.52391089,0.17935436,0.33688314,0.582415365,0.236824697,37.65264606,0.20593,2.076803284
B117,U20,Day11,2021-06-24,3,188,21.63333333,0.52499379,0.17514708,0.37960788,0.584735,0.234050021,42.58413188,0.1203,2.085881646
B115,U20,Day15,2021-06-28,4,138,22.1,NA,NA,NA,0.548950192,0.384700884,10.74543407,0.03797,NA
B118,U20,Day16,2021-06-29,4,172,20.5,0.51141079,0.36315888,0.16309933,0.557947311,0.363910873,17.37198783,NA,2.357109739
B119,U21,Day02,2021-06-15,1,210,20.33333333,0.51514249,0.12453044,1.03421557,0.528632703,0.229575696,102.718455,0.53735,1.702328557
B122,U21,Day04,2021-06-17,1,200,22.56666667,0.52344914,0.13260235,1.31348446,0.561247552,0.204106781,127.9291463,0.39752,1.903774394
B123,U21,Day06,2021-06-19,2,172,22.36666667,0.52771288,0.12741253,1.20978273,0.580153285,0.190505116,121.5657505,0.25437,2.003082367
B120,U21,Day07,2021-06-20,2,171,21.8,0.52899071,0.12408608,0.90331943,0.58820525,0.192010004,96.01219989,0.21055,1.990251499
B121,U21,Day08,2021-06-21,2,150,22.03333333,0.52507292,0.1221905,1.0726639,0.570197629,0.197356804,109.1041927,0.18132,1.905738132
B124,U21,Day15,2021-06-28,4,167,20.2,0.52502985,0.15020903,0.45788362,0.580731612,0.219573994,50.47228831,0.07224,2.237341459
B127,U22,Day03,2021-06-16,1,215,21.66666667,0.5199466,0.13013397,1.25769598,0.546397719,0.214590601,122.189076,0.412,1.672612961
B129,U22,Day08,2021-06-21,2,200,22.83333333,0.52811054,0.13604465,1.03046341,0.584519165,0.199557188,107.502154,0.20191,2.003225527
B126,U22,Day09,2021-06-22,3,205,23.03333333,0.52303077,0.10183072,0.83014171,0.563645502,0.194765838,87.27193683,0.1889,2.058815041
B125,U22,Day13,2021-06-26,4,157,21.53333333,0.51805977,0.29922861,0.16836683,0.580600544,0.305373487,18.66974892,0.12432,2.32641316
B128,U22,Day16,2021-06-29,4,157,21.43333333,0.5251391,0.15620964,0.43578947,0.581625188,0.219605409,47.39964063,0.03443,2.264131125
B133,U23,Day02,2021-06-15,1,186,18.96666667,0.51707518,0.11394135,0.99917528,0.53674177,0.216881914,100.2626582,0.59797,1.578038004
B131,U23,Day05,2021-06-18,2,206,21.5,0.52352739,NA,1.00917663,0.5612059,0.178349339,102.3607339,0.17016,2.054161732
B134,U23,Day09,2021-06-22,3,163,20.63333333,0.52690161,0.154636,0.54844817,0.586738552,0.219193028,60.72068086,0.2125,2.022414584
B132,U23,Day10,2021-06-23,3,194,20.43333333,0.52822162,0.11918951,0.84111562,0.519540145,0.423481635,40.15535694,0.12682,1.956055132
B137,U24,Day01,2021-06-14,1,212,18.83333333,0.5156327,0.125229087,1.077053768,0.529948577,0.227738688,106.2682266,0.54538,1.223000479
B138,U24,Day04,2021-06-17,1,157,21.63333333,0.52426154,0.13902332,1.3823226,0.56465765,0.204679852,133.8208936,0.21918,1.970411292
B140,U24,Day04,2021-06-17,1,191,22.13333333,0.52522135,0.13982518,1.26904408,0.570222797,0.204620019,125.670346,0.3773,1.738955095
B135,U24,Day05,2021-06-18,2,168,21.76666667,0.52694996,0.13731074,1.36376286,0.576266338,0.195427641,133.3467534,0.24434,1.932738433
B139,U24,Day09,2021-06-22,3,184,20.83333333,0.52800851,0.13284288,0.89733278,0.583993384,0.195554947,92.50051475,0.18413,1.999863585
B141,U24,Day10,2021-06-23,3,175,20.63333333,0.52745156,0.14753839,0.64865353,0.586264791,0.210798901,69.90113937,0.13504,1.922281507
B136,U24,Day16,2021-06-29,4,132,19.73333333,0.51255611,0.36239005,0.14263144,0.566057998,0.35182664,15.01043497,NA,2.412652715
B146,U25,Day02,2021-06-15,1,127,19.96666667,0.51562089,0.119666,1.0300374,0.530333538,0.224799837,102.4293045,0.52022,1.460088963
B142,U25,Day07,2021-06-20,2,142,21.8,0.5263383,0.13387512,1.15759166,0.575551301,0.199739229,116.926337,0.26467,1.976851438
B148,U25,Day10,2021-06-23,3,132,20.7,0.52478733,0.18945748,0.32824386,0.58741639,0.24327284,37.68645055,0.12952,2.072319646
B147,U25,Day11,2021-06-24,3,135,20.13333333,0.52563143,0.17516766,0.40937848,0.586791794,0.235261513,46.59840642,0.16646,2.131780471
B144,U25,Day12,2021-06-25,3,117,20.06666667,0.52279917,0.18575259,0.42870799,0.573376211,0.239560689,44.95625008,0.06457,2.160995107
B149,U25,Day14,2021-06-27,4,107,20.23333333,0.52033303,0.24429192,0.22630244,0.578814391,0.27482451,24.90224609,0.07181,2.249245535
B145,U25,Day15,2021-06-28,4,131,19.5,0.51463051,0.33556757,0.15488203,0.570912429,0.33325268,16.68160796,0.06079,2.417942804
B153,U26,Day01,2021-06-14,1,172,NA,0.51586369,0.13722647,1.17540305,0.530438007,0.234146819,114.5619973,0.59318,0
B152,U26,Day02,2021-06-15,1,164,20.5,0.51402145,0.09774055,0.88109962,0.524338486,0.216202168,88.96316026,0.71116,1.590161887
B155,U26,Day03,2021-06-16,1,160,21.23333333,0.51814234,NA,0.93468879,0.540099226,0.197866893,94.39987077,0.64781,1.655753565
B150,U26,Day06,2021-06-19,2,155,21.3,0.52572549,0.11513552,1.19071025,0.570848309,0.188471124,118.8414617,0.30046,1.937021398
B151,U26,Day08,2021-06-21,2,136,20.86666667,0.52645914,0.1661533,0.37773062,0.591046945,0.230811399,44.46408824,0.25465,1.979604852
B154,U26,Day12,2021-06-25,3,116,20.53333333,0.51300887,0.34865414,0.14089943,0.567385194,0.340307609,14.82543144,0.07972,2.202368414
B156,U26,Day13,2021-06-26,4,101,18.63333333,0.51748302,0.27412391,0.17937087,0.574483141,0.291709522,19.42918779,0.0999,2.110281235
B158,U27,Day03,2021-06-16,1,183,21.76666667,0.52097257,0.11221677,1.20578516,0.549818435,0.200060074,117.9641612,0.44191,1.716868588
B157,U27,Day07,2021-06-20,2,122,21.3,0.52845981,0.13372227,0.93191428,0.586382386,0.1979181,98.00728796,0.34589,1.904184552
B159,U27,Day11,2021-06-24,3,123,20.9,0.52774212,0.12203747,0.75610587,0.584096902,0.193274541,80.22994798,0.15505,2.064863675
B160,U27,Day13,2021-06-26,4,124,20.43333333,0.51644889,0.28880616,0.16917214,0.573261293,0.302325103,18.46200583,0.08665,2.221356434
B163,U28,Day01,2021-06-14,1,213,19.7,0.51836976,0.15010756,1.32060746,0.540677186,0.232696528,127.2331197,0.65138,0.311200259
B164,U28,Day05,2021-06-18,2,184,NA,0.52618479,0.1368597,1.30310904,0.573535201,0.198597648,128.2583186,0.47868,1.896885596
B161,U28,Day07,2021-06-20,2,145,23.43333333,0.52766418,0.14510248,0.91189161,0.584288547,0.206990438,95.81801074,0.28548,1.813648746
B162,U28,Day09,2021-06-22,3,169,NA,0.52824155,0.14690872,0.57275315,0.591352099,0.213154148,64.37803028,0.20655,1.988902535
B166,U28,Day10,2021-06-23,3,182,22.83333333,0.52653475,0.15693369,1.22954171,0.577525122,0.211491472,122.6909717,0.19168,1.929765385
B165,U28,Day12,2021-06-25,3,145,22.63333333,0.52435876,0.17868894,0.46750538,0.578788699,0.234140504,49.91762747,0.1021,2.070121007
B168,U29,Day03,2021-06-16,1,147,22.03333333,0.51855961,0.11765697,1.17585055,0.540310305,0.211848694,114.9599706,0.55047,1.729696432
B170,U29,Day12,2021-06-25,3,113,19.53333333,0.51914577,0.27860399,0.17447884,0.582896391,0.291636209,19.54788817,0.14469,2.146234818
B172,U29,Day13,2021-06-26,4,103,19.8,0.52073674,0.22491972,0.26614221,0.57611485,0.266639041,29.25032673,0.12283,2.162966505
B171,U29,Day15,2021-06-28,4,110,19,0.51924862,0.25316261,0.21678905,0.575452616,0.280331503,23.43299917,0.09249,2.356554424
B167,U29,Day16,2021-06-29,4,131,19.43333333,0.52024266,0.24849579,0.23827696,0.578810236,0.282605592,27.00678435,NA,2.32101923
B169,U29,Day16,2021-06-29,4,115,19.56666667,0.51805341,0.28570213,0.18897508,0.57620878,0.300995136,20.64800956,0.06152,2.358642152
B174,U30,Day08,2021-06-21,2,207,21.16666667,0.5277123,0.15500682,0.53521424,0.590461847,0.219549924,60.38776302,0.34448,2.006733249
B175,U30,Day13,2021-06-26,4,165,19.46666667,0.51289334,0.35384472,0.17018408,0.562704158,0.355698467,18.3895516,0.11892,2.340440143
B173,U30,Day15,2021-06-28,4,142,20.53333333,0.51298319,0.35520935,0.14382354,0.567127279,0.34632462,15.19236293,0.07064,2.258878067
