Fruit.id,Fruit.batch,Fruit.bush,Day ,Date,Ripeness.stage,Mean.weight,Sum.weight,Sugar.content,Primate.red-green.contrast,Primate.blue-yellow.contrast,Primate.luminance,Passerine.red-green.contrast,Passerine.blue-yellow.contrast,Passerine.luminance,Instant.modulus.test,Shannon.index
D08-C02,U03,Blue2,Day08,2021-07-13,2,0.276,1.38,12.3,0.5074349,0.405838,0.14548472,0.546666174,0.395271159,14.73130135,0.226,2.604533292
D08-C03,U03,Pink3,Day08,2021-07-13,2,0.328,1.64,12.6,0.5116035,0.37244286,0.14267575,0.560850557,0.361394349,15.02121393,0.254,2.545086421
D08-C04,U03,Orange4,Day08,2021-07-13,2,0.24,1.2,11.6,0.5145253,0.32914709,0.17645442,0.567122152,0.332638951,19.37137329,0.252,2.525597658
D08-C05,U03,Red5,Day08,2021-07-13,2,0.322,1.61,13.2,0.5044768,0.35459931,0.18947093,0.527698975,0.375062269,19.35603628,0.357,2.525985629
D09-C01,U04,Yellow1,Day09,2021-07-14,3,0.328,1.64,12.7,0.5162774,0.37420651,0.18439177,0.576337282,0.359218996,20.19427901,0.307,1.823631684
D09-C02,U04,Blue2,Day09,2021-07-14,3,0.49,2.45,12.3,0.5022512,0.46824188,0.10799949,0.615508813,0.555380735,9.706075513,0.159,2.099996821
D09-C03,U04,Pink3,Day09,2021-07-14,3,0.35,1.75,11.1,0.5077063,0.43937681,0.11027755,0.553955248,0.405346007,10.69810437,0.156,2.638731447
D09-C04,U04,Orange4,Day09,2021-07-14,3,0.406,2.03,12.5,0.5176196,0.3385843,0.18791068,0.58292153,0.32561397,20.47032201,0.32,2.51764301
D09-C05,U04,Red5,Day09,2021-07-14,3,0.514,2.57,10.3,0.5095422,0.33833133,0.23696441,0.54801384,0.352398785,25.53610674,0.405,2.338128276
D10-C01,U05,Yellow1,Day10,2021-07-15,3,0.378,1.89,12.1,0.509665,0.37173283,0.19981415,0.55153848,0.372172933,21.15793447,0.223,2.20829968
D10-C02,U05,Blue2,Day10,2021-07-15,3,0.264,1.32,12.4,0.5152321,0.38382758,0.16561786,0.576138646,0.360500474,17.9511671,0.132,1.897090783
D10-C03,U05,Pink3,Day10,2021-07-15,3,0.332,1.66,11.8,0.5101553,0.35034677,0.23033214,0.546405822,0.37008936,24.7665284,0.195,1.928203158
D10-C04,U05,Orange4,Day10,2021-07-15,3,0.388,1.94,14,0.5118331,0.37187106,0.1775536,0.558512043,0.372734037,19.02801504,0.152,2.043439406
D10-C05,U05,Red5,Day10,2021-07-15,3,0.544,2.72,13.9,0.5061787,0.4067216,0.19294378,0.634148567,0.534369549,11.80276536,0.142,2.073725352
D11-C01,U01,Yellow1,Day11,2021-07-16,3,0.228,1.14,11.6,0.5116464,0.391707,0.1711724,0.561159728,0.379676147,18.25564894,0.262,2.245585606
D11-C02,U01,Blue2,Day11,2021-07-16,3,0.292,1.46,16.4,0.5081605,0.32347429,0.23302633,0.538019533,0.353447767,24.67648277,0.217,2.031473824
D11-C03,U01,Pink3,Day11,2021-07-16,3,0.272,1.36,15.5,0.5035999,0.45713133,0.1016007,0.621351843,0.55035951,9.838935477,0.197,1.943510873
D11-C04,U01,Orange4,Day11,2021-07-16,3,0.58,2.9,12.8,0.514774,0.38023936,0.14260465,0.576165034,0.356773639,15.28375882,0.206,2.581881031
D11-C05,U01,Red5,Day11,2021-07-16,3,0.48,2.4,14.2,0.5044,0.47033568,0.11116987,0.539508141,0.440177715,10.61579484,0.243,2.353940535
D12-C01,U02,Yellow1,Day12,2021-07-17,3,0.376,1.88,12.8,0.5093467,0.33961802,0.23022179,0.542642843,0.365542438,24.71870137,0.218,1.948615449
D12-C02,U02,Blue2,Day12,2021-07-17,3,0.398,1.99,14.5,0.508573,0.30143581,0.27900696,0.535121958,0.34425245,29.86131735,0.136,2.534515822
D12-C03,U02,Pink3,Day12,2021-07-17,3,0.326,1.63,16.4,0.504502,0.39758116,0.19201683,0.625951191,0.507150094,21.01181692,0.21,2.434128839
D12-C04,U02,Orange4,Day12,2021-07-17,3,0.394,1.97,12.6,0.509685,0.37472922,0.17052667,0.550983383,NA,17.87806946,0.239,2.093848156
D12-C05,U02,Red5,Day12,2021-07-17,3,0.49,2.45,NA,0.5032517,0.39377834,0.20325442,0.522430087,0.411144101,20.97832427,0.204,1.784530607
D13-C01,U03,Yellow1,Day13,2021-07-18,4,0.332,1.66,15.3,0.5091188,0.37981172,0.2023475,0.548200101,0.382609564,21.34984945,0.192,1.870955287
D13-C02,U03,Blue2,Day13,2021-07-18,4,0.254,1.27,14.2,0.4996958,0.46618376,0.09622785,0.521619321,0.441499151,8.374818605,0.08,2.17495047
D13-C03,U03,Pink3,Day13,2021-07-18,4,0.354,1.77,13.7,0.5124025,0.38139147,0.20782478,0.560816561,0.375950343,22.57192311,0.111,1.731002802
D13-C04,U03,Orange4,Day13,2021-07-18,4,0.252,1.26,12.7,0.502248,0.4557363,0.09946556,0.532333155,0.42846677,8.986399049,NA,1.651282275
D13-C05,U03,Red5,Day13,2021-07-18,4,0.48,2.4,14.7,0.5065141,0.41992409,0.10848787,0.548030129,0.391801605,10.31445253,0.043,2.338528025
D14-C01,U04,Yellow1,Day14,2021-07-19,4,0.27,1.35,14,NA,NA,0.20025246,0.541570702,0.396937003,14.86987106,0.209,2.560982095
D14-C02,U04,Blue2,Day14,2021-07-19,4,0.534,2.67,14.4,0.5002075,0.48284944,0.10067913,0.618270919,0.563947394,9.880828769,0.238,2.398630878
D14-C03,U04,Pink3,Day14,2021-07-19,4,0.444,2.22,14.3,0.5030828,0.45322601,0.11129413,0.617672294,0.551418486,10.81432641,0.283,2.178316957
D14-C04,U04,Orange4,Day14,2021-07-19,4,0.36,1.8,13.9,0.509291,0.41776705,0.15322251,0.555251719,0.392581028,15.88374302,0.234,2.001877564
D14-C05,U04,Red5,Day14,2021-07-19,4,0.49,2.45,12,0.5068016,0.39353202,0.17971701,0.540066924,0.396056809,18.65518475,0.287,2.500500555
D15-C01,U05,Yellow1,Day15,2021-07-20,4,0.306,1.53,13.1,0.5065182,0.4392719,0.15384877,0.542842786,0.422069571,15.86871257,0.387,2.469792426
D15-C02,U05,Blue2,Day15,2021-07-20,4,0.316,1.58,16.1,0.500591,0.46664096,0.09921219,0.526213654,0.439697844,8.817510033,0.144,2.538239765
D15-C03,U05,Pink3,Day15,2021-07-20,4,0.33,1.65,13.9,0.5028233,0.4716558,0.10819905,0.533746874,0.446072015,9.98549857,0.19,2.480665526
D15-C04,U05,Orange4,Day15,2021-07-20,4,0.35,1.75,13.9,0.4989073,0.47809148,0.10002692,0.518457899,0.455007878,8.748584208,0.155,1.97705508
D15-C05,U05,Red5,Day15,2021-07-20,4,0.6,3,13.6,0.4983279,0.47989156,0.11007033,0.511927724,0.469095878,9.897781731,0.109,2.183623409
D16-C01,U01,Yellow1,Day16,2021-07-21,4,0.328,1.64,15.8,0.5128303,0.42165338,0.13418454,0.57009636,0.389034361,14.00848729,0.183,2.30664176
D16-C02,U01,Blue2,Day16,2021-07-21,4,0.276,1.38,11.5,0.4999162,0.46431434,NA,0.527493578,0.423244917,7.596661625,0.094,NA
D16-C03,U01,Pink3,Day16,2021-07-21,4,0.306,1.53,15.4,0.5046042,0.44018141,0.1147623,0.536906114,0.422993441,10.94294,0.079,2.09981225
D16-C04,U01,Orange4,Day16,2021-07-21,4,0.53,2.65,15.6,0.5082355,0.37531462,0.16638066,0.545774981,0.374835704,17.28092482,0.048,2.121638379
D16-C05,U01,Red5,Day16,2021-07-21,4,0.486,2.43,14.6,NA,NA,0.09412219,0.515023988,0.473323656,8.013334122,0.094,1.568272765
